date,destination,google_trends,wiki_views
2020-01-01,Albania,0.0,0.11959381178431347
2020-02-01,Albania,0.0,0.09558774899491682
2020-03-01,Albania,0.0,0.10701072270285875
2020-04-01,Albania,0.0,0.13196448537484332
2020-05-01,Albania,0.0,0.11458298481890605
2020-06-01,Albania,0.0,0.09407127356703188
2020-07-01,Albania,0.0,0.11943508372516079
2020-08-01,Albania,0.0,0.10860889639648402
2020-09-01,Albania,0.0,0.1158971597792435
2020-10-01,Albania,0.0,0.10741221132306839
2020-11-01,Albania,0.0,0.10533396305837847
2020-12-01,Albania,0.0,0.10859022250717193
2021-01-01,Albania,0.0,0.10751180539939947
2021-02-01,Albania,0.0,0.10754215046953161
2021-03-01,Albania,0.0,0.1438340762688324
2021-04-01,Albania,0.0,0.13099499928805797
2021-05-01,Albania,0.0,0.15093404460102847
2021-06-01,Albania,0.0,0.14497863006791847
2021-07-01,Albania,0.0,0.1431843805365164
2021-08-01,Albania,0.88,0.15549903245911
2021-09-01,Albania,1.0,0.13916015738976376
2021-10-01,Albania,0.0,0.1276539292586388
2021-11-01,Albania,0.0,0.12547530883889646
2021-12-01,Albania,0.0,0.10662090526346912
2022-01-01,Albania,0.0,0.13994368266214965
2022-02-01,Albania,0.77,0.15690968918089318
2022-03-01,Albania,0.0,0.19437962616429755
2022-04-01,Albania,0.0,0.13692473722336382
2022-05-01,Albania,0.0,0.16281608475455894
2022-06-01,Albania,0.0,0.13466441853788114
2022-07-01,Albania,0.0,0.1535125974835378
2022-08-01,Albania,0.0,0.17854183379149202
2022-09-01,Albania,0.0,0.16245194391297343
2022-10-01,Albania,0.0,0.1572590465267733
2022-11-01,Albania,0.0,0.22893565833629648
2022-12-01,Albania,0.0,0.18914082213353853
2023-01-01,Albania,0.0,0.16071994067927828
2023-02-01,Albania,0.0,0.1429929731710676
2023-03-01,Albania,0.0,0.18015167866593734
2023-04-01,Albania,0.0,0.1500260267332287
2023-05-01,Albania,0.0,0.19548527602731677
2023-06-01,Albania,0.0,0.18987999691880825
2023-07-01,Albania,0.0,0.1939190035612663
2023-08-01,Albania,0.0,0.1818922407655672
2023-09-01,Albania,0.0,0.17559836198867584
2023-10-01,Albania,0.0,0.1730260337359372
2023-11-01,Albania,0.0,0.18479291823870989
2023-12-01,Albania,0.0,0.16737951645519783
2024-01-01,Albania,0.0,0.18614366289895012
2024-02-01,Albania,0.0,0.15776479769564206
2024-03-01,Albania,0.0,0.17283151405560304
2024-04-01,Albania,0.0,0.1552835046532998
2024-05-01,Albania,0.0,0.15805657721614325
2024-06-01,Albania,0.0,0.3668532240080858
2024-07-01,Albania,0.0,0.1588533298267919
2024-08-01,Albania,0.0,0.15018319863493867
2024-09-01,Albania,0.0,0.16350624058038446
2024-10-01,Albania,0.0,0.13851746436593976
2024-11-01,Albania,0.0,0.1161142437424964
2024-12-01,Albania,0.0,0.11880873035448489
